chaesikjuuija	facts/auto_chaesikjuuija.txt	이 책은 KEI 도서관에서 만나볼 수 있습니다	quiet contemporary Korean editorial illustration, still life of everyday objects and empty interiors, soft window light, muted paper palette with one warm accent, gentle grain texture, no crowds, no violence, no text. Composition avoids anything that would carry writing: no signboards, no posters, no framed notices, no labelled packages, no book spines facing the viewer. Prefer close textures, plants, fabric, light and shadow on empty surfaces. 
jikil_baksawa_haideu	facts/auto_jikil_baksawa_haideu.txt	소설 지킬 박사와 하이드에서 만날 수 있습니다	victorian london fog illustration, gas lamps and narrow lanes, laboratory glassware, muted green and soot black palette, engraved texture. 	긴장
dongmulnongjang	facts/auto_dongmulnongjang.txt	이 책은 KEI 도서관에서 만나볼 수 있습니다	english farmyard woodcut illustration, barn and windmill on a hill, muted earth tones with faded red, rough print texture. 	담담
omangwa_pyeongyeon	facts/auto_omangwa_pyeongyeon.txt	이 책은 KEI 도서관에서 만나볼 수 있습니다	regency english countryside watercolor, country manor and hedgerow lanes, candlelit drawing room, soft rose and sage palette, aged paper texture. 	따뜻
bombom	facts/auto_bombom.txt	소설 봄봄에서 만날 수 있습니다	1930s Korean rural spring illustration, thatched roofs and plum blossoms, warm afternoon fields, ochre and fresh green palette, hanji texture. 	생동
keuriseumaseu_kaereol	facts/auto_keuriseumaseu_kaereol.txt	소설 크리스마스 캐럴에서 만날 수 있습니다	victorian london winter illustration, snowy lanes and warm shop windows, lamplight glow, deep green and amber palette, aged print texture. 	따뜻
dongbaekkkot	facts/auto_dongbaekkkot.txt	소설 동백꽃에서 만날 수 있습니다	Korean mountain village illustration, camellia red against straw fences, spring hillside light, warm earth palette, hanji texture. 	생동
gamja	facts/auto_gamja.txt	소설 감자에서 만날 수 있습니다	1920s Pyongyang slum illustration, mud walls and potato fields at dusk, heavy grey and umber palette, coarse paper texture. 	서늘
baettaragi	facts/auto_baettaragi.txt	소설 배따라기에서 만날 수 있습니다	Korean west-coast fishing village illustration, wooden boats and grey waves, sea-mist morning light, faded blue palette, ink wash texture. 	따뜻
beongeori_samryongi	facts/auto_beongeori_samryongi.txt	소설 벙어리 삼룡이에서 만날 수 있습니다	1920s Korean estate house illustration, tiled gates and servant quarters, lantern night glow, deep brown and ember palette, ink texture. 	긴장
bsagamgwa_reobeureteo	facts/auto_bsagamgwa_reobeureteo.txt	소설 B사감과 러브레터에서 만날 수 있습니다	1920s girls dormitory illustration, narrow corridor and oil lamps, moonlit windows, muted navy and cream palette, aged paper texture. 	생동
juhong_geulja	facts/auto_juhong_geulja.txt	소설 주홍 글자에서 만날 수 있습니다	17th century puritan town illustration, wooden scaffold and forest edge, cold daylight, black and crimson accent palette, engraved texture. 	서늘
pokpungui_eondeok	facts/auto_pokpungui_eondeok.txt	소설 폭풍의 언덕에서 만날 수 있습니다	english moorland illustration, storm clouds over heather hills, lonely stone house, slate and violet palette, rough brush texture. 	긴장
dorieon_geureiui_chosang	facts/auto_dorieon_geureiui_chosang.txt	소설 도리언 그레이의 초상에서 만날 수 있습니다	victorian london salon illustration, velvet curtains and gilt frames, candlelit interior, jade and gold palette, oil painting texture. 	서늘
memilkkot_pil_muryeop	facts/auto_memilkkot_pil_muryeop.txt	소설 메밀꽃 필 무렵에서 만날 수 있습니다	moonlit buckwheat field illustration, white blossoms under blue night, mountain pass and donkey path, soft indigo and silver palette, hanji paper texture. 	따뜻
widaehan_gaecheubi	facts/auto_widaehan_gaecheubi.txt	소설 위대한 개츠비에서 만날 수 있습니다	1920s art deco illustration, long island mansion and green dock light, vintage cars, muted gold and teal palette, aged print texture. 	담담
unsu_joteun_nal	facts/auto_unsu_joteun_nal.txt	소설 운수 좋은 날에서 만날 수 있습니다	1920s Seoul rainy street illustration, rickshaw and wet cobblestones, gaslight reflections, muted charcoal and ochre palette, worn paper texture. 	서늘
